hour,date,month,value
7.0,3.0,1.0,8.482600000000001
10.0,3.0,1.0,8.8056
13.0,3.0,1.0,8.427200000000001
15.0,3.0,1.0,6.6416
16.0,3.0,1.0,6.9384
17.0,3.0,1.0,6.461
16.0,8.0,1.0,6.9628
6.0,9.0,1.0,8.516200000000001
7.0,9.0,1.0,9.2246
16.0,9.0,1.0,7.281000000000001
17.0,9.0,1.0,6.6336
7.0,10.0,1.0,9.7446
10.0,10.0,1.0,8.8846
16.0,10.0,1.0,7.1504
17.0,10.0,1.0,6.616000000000001
16.0,22.0,1.0,6.2232
17.0,22.0,1.0,6.325800000000001
13.0,23.0,1.0,8.997200000000001
14.0,23.0,1.0,9.6696
10.0,24.0,1.0,8.6
13.0,29.0,1.0,7.7826
14.0,29.0,1.0,7.755599999999999
6.0,30.0,1.0,9.2294
7.0,30.0,1.0,9.161
10.0,30.0,1.0,7.767200000000001
11.0,30.0,1.0,7.306
16.0,30.0,1.0,6.0516
17.0,21.0,2.0,6.038200000000001
8.0,24.0,5.0,6.5962000000000005
9.0,24.0,5.0,6.9622
11.0,24.0,5.0,8.9966
16.0,12.0,11.0,5.952000000000001
17.0,12.0,11.0,6.0316
10.0,3.0,12.0,5.779400000000001
11.0,3.0,12.0,9.8826
16.0,1.0,1.0,6.1716
10.0,2.0,1.0,9.3318
11.0,2.0,1.0,9.638
14.0,2.0,1.0,6.394800000000001
16.0,2.0,1.0,7.542400000000001
17.0,2.0,1.0,6.770800000000001
18.0,2.0,1.0,6.1614
15.0,3.0,1.0,6.6416
16.0,3.0,1.0,6.9384
17.0,3.0,1.0,6.461
18.0,3.0,1.0,6.4292
21.0,3.0,1.0,8.208
8.0,6.0,1.0,11.4186
9.0,6.0,1.0,10.506
10.0,8.0,1.0,8.7378
11.0,8.0,1.0,9.1064
12.0,8.0,1.0,9.329
13.0,8.0,1.0,8.527800000000001
14.0,8.0,1.0,8.3006
15.0,8.0,1.0,7.664
16.0,8.0,1.0,6.9628
17.0,8.0,1.0,6.448
18.0,8.0,1.0,6.6962
11.0,10.0,1.0,9.5054
16.0,15.0,1.0,6.3012
16.0,16.0,1.0,6.904400000000001
8.0,20.0,1.0,9.2386
9.0,20.0,1.0,9.369
6.0,22.0,1.0,10.4106
17.0,23.0,1.0,6.5586
8.0,27.0,1.0,9.8924
9.0,27.0,1.0,9.9458
7.0,29.0,1.0,9.7754
14.0,30.0,1.0,7.8152
16.0,30.0,1.0,6.0516
9.0,19.0,2.0,9.4234
10.0,19.0,2.0,10.1506
11.0,19.0,2.0,11.3002
12.0,19.0,2.0,11.104200000000002
15.0,19.0,2.0,9.826
16.0,19.0,2.0,8.640800000000002
17.0,19.0,2.0,6.2028
18.0,19.0,2.0,7.349600000000001
5.0,20.0,2.0,10.3462
6.0,20.0,2.0,9.3364
7.0,20.0,2.0,10.0718
14.0,20.0,2.0,8.505
16.0,20.0,2.0,7.5806
17.0,20.0,2.0,7.098000000000001
18.0,20.0,2.0,7.771000000000001
16.0,12.0,3.0,6.752000000000001
17.0,12.0,3.0,6.9224000000000006
14.0,13.0,3.0,8.761000000000001
16.0,13.0,3.0,7.300400000000001
17.0,13.0,3.0,7.254400000000001
18.0,13.0,3.0,7.034400000000001
17.0,14.0,3.0,6.602000000000001
17.0,18.0,3.0,6.795800000000002
9.0,23.0,6.0,7.338600000000001
17.0,9.0,8.0,8.9206
